Areál bežeckého lyžovania SNOW Štrbské Pleso,0 cm,Nevhodné
BACHLEDKA Ski and Sun,0 cm,Nevhodné
Bachledova DENY,0 cm,Neznáme
Bezovec,0 cm,Nevhodné
BREZOVICA,0 cm,Neznáme
Čachovo - Selce,0 cm,Neznáme
Čertov - Lazy pod Makytou,0 cm,Nevhodné
Čertovica - STIV,0 cm,Neznáme
Chopok juh - Kosodrevina,0 cm,Neznáme
Chopok juh - Srdiečko,0 cm,Neznáme
Chopok sever - Biela púť,0 cm,Neznáme
Chopok sever - Otupné,0 cm,Neznáme
Chopok sever - Záhradky,0 cm,Neznáme
Čičmany,0 cm,Neznáme
Dačov Lom - Lomník,0 cm,Nevhodné
Dolný Smokovec - Pod lesom,0 cm,Nevhodné
Donovaly - Nová hoľa,0 cm,Nevhodné
Donovaly - Záhradište,0 cm,Nevhodné
Drienica,0 cm,Nevhodné
Fačkovské sedlo - Kľak,0 cm,Nevhodné
Fričkovce,0 cm,Nevhodné
Jahodná,0 cm,Neznáme
Jasenská dolina,0 cm,Neznáme
Kasárne - Javorníky,0 cm,Neznáme
Kavečany,0 cm,Nevhodné
Krahule,0 cm,Nevhodné
Králiky,0 cm,Neznáme
Krpáčovo,0 cm,Nevhodné
Kubašok - Sp. Bystré,0 cm,Nevhodné
Litmanová,0 cm,Nevhodné
Makovica - Nižná Polianka,0 cm,Neznáme
Monkova dolina - Ždiar,0 cm,Nevhodné
Mýto pod Ďumbierom,0 cm,Neznáme
Opalisko - Závažná Poruba,0 cm,Neznáme
Orava Snow - Oravská Lesná,0 cm,Neznáme
Pavčina Lehota,0 cm,Neznáme
Pezinská Baba,0 cm,Nevhodné
Podbanské SKI,0 cm,Nevhodné
Podkonice - Pleše,0 cm,Nevhodné
Polomka - Bučník,0 cm,Nevhodné
Poráč-Brodok,0 cm,Nevhodné
Racibor - Oravský Podzámok,0 cm,Neznáme
Regetovka,0 cm,Nevhodné
Relax Center Plejsy,0 cm,Neznáme
Resort Levočská dolina,0 cm,Nevhodné
Roháče - Spálená dolina,30 cm,Neznáme
Ružomberok - Malinô Brdo,0 cm,Nevhodné
Šachtičky,0 cm,Neznáme
Salamandra Resort,0 cm,Neznáme
Skalka arena,0 cm,Neznáme
Ski - TMG Remata,0 cm,Neznáme
Ski centrum Drozdovo,0 cm,Neznáme
Ski Centrum Kohútka,0 cm,Neznáme
Ski Centrum Kordíky,0 cm,Neznáme
Ski Centrum Mraznica - Hnilčík,0 cm,Neznáme
Ski Centrum Nižná Uhliská,0 cm,Neznáme
SKI Čertovica,0 cm,Neznáme
Ski Čierny Balog,0 cm,Nevhodné
Ski Gugel Mlynky,0 cm,Neznáme
Ski Krušetnica,0 cm,Nevhodné
Ski Land Stará Myjava,0 cm,Nevhodné
Ski Lysá,0 cm,Nevhodné
Ski Makov,0 cm,Neznáme
Ski Mojtín,0 cm,Nevhodné
SKI PARK Kubínska hoľa,0 cm,Neznáme
SKI PARK Liptovská Teplička,0 cm,Nevhodné
SKI PARK Oravice,0 cm,Nevhodné
SKI Podjavorník,0 cm,Nevhodné
Ski Ráztoka - Horná Maríková,0 cm,Nevhodné
Ski Resort - Hotel Royal Látky,0 cm,Neznáme
Ski Telgárt,0 cm,Neznáme
SKI VITANOVÁ Vrchdolinky,0 cm,Neznáme
Ski Zábava-Hruštín,0 cm,Nevhodné
Ski Zbojská,0 cm,Neznáme
Ski-Blanc Ostrý Grúň Kollárová,0 cm,Neznáme
Ski-Tatrasvit - Lopušná dolina,0 cm,Nevhodné
Skicentrum Kľačno,0 cm,Nevhodné
Skicentrum Kokava-línia,0 cm,Neznáme
Skicentrum Strednica - Ždiar,0 cm,Neznáme
Skicentrum Tajov,0 cm,Nevhodné
Skicentrum Žiar-Dolinky,0 cm,Neznáme
Skipark Erika - Kojšovská hoľa,0 cm,Nevhodné
Skipark Kálnica,0 cm,Nevhodné
Skipark Vyšné Ružbachy,0 cm,Neznáme
SNOW SUN Vadičov,0 cm,Neznáme
Snowland - Valčianska dolina,0 cm,Nevhodné
SNOWPARADISE Veľká Rača,0 cm,Nevhodné
Snowpark Lučivná,0 cm,Nevhodné
Športcentrum Lučivná - BLV1,0 cm,Neznáme
Športcentrum Lučivná - Magura,0 cm,Nevhodné
Športcentrum Lučivná - Sedačková lanovka,0 cm,Nevhodné
Športcentrum Oščadnica,0 cm,Nevhodné
Starý Smokovec,0 cm,Nevhodné
Strachan Ski Centrum-Ždiar,0 cm,Neznáme
Štrbské Pleso,5 cm,Nevhodné
Svit - Lopušná dolina,0 cm,Neznáme
Tále,0 cm,Nevhodné
Tatranská Lomnica,0 cm,Nevhodné
Vernár-Studničky,0 cm,Nevhodné
Vrátna - Chleb,0 cm,Nevhodné
Vrátna - Paseky,0 cm,Nevhodné
Vrátna - Poludňový Grúň,0 cm,Nevhodné
Vyšná Boca - Bačova roveň,0 cm,Neznáme
Vyšná Slaná - Július,0 cm,Neznáme
winter park MARTINKY,0 cm,Nevhodné
Zochova chata - Piesok,0 cm,Nevhodné
Zuberec - Janovky,0 cm,Nevhodné
Zuberec - Milotín,0 cm,Nevhodné
